CA Skateparks!,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Name,City,County,Address,Free,Lights,Helmet/Pads,Notes,Exist,Visited,Column1,,,,,,,
South Pasadena Skatepark,South Pasadena,Los Angeles County,"660 Stoney Dr, South Pasadena, CA 91030",Y,N,N,,,1,1,Progress,,125,28.87%,,,314.63
Peck Park Skatepark,San Pedro,Los Angeles County,"29698 N Western Ave, San Pedro, CA 90732",Y,N,N,,,2,,,,433,,,431.00,
Alondra Skate Park,Lawndale,Los Angeles County,"3353 Redondo Beach Blvd, Gardena, CA 90249",Y,Y,N,Scraped car,,3,,,,,,,,
Pamela Park,Duarte,Los Angeles County,"2236 Goodall Ave, Duarte, CA 91010",Y,N,N,,,4,1,Time,,9/22/03,,,365,0.73
Charmette Bonpua Skate Plaza,Los Angeles,Los Angeles County,"5001 Rodeo Rd, Los Angeles, CA 90016",Y,N,N,Cracked phone in half..,,5,,,,500,,,500,
Ponderosa Park Skate Plaza,Anaheim,Orange County,"150 E Orangewood Ave, Anaheim, CA 92802",Y,Y,N,,,6,1,,,,,,,
Skatelab,Simi Valley,Ventura County,"4226 Valley Fair St, Simi Valley, CA 93063",Y,Y,Y,,,7,,,,,,,,
Acacoda Heights Skatepark,La Puente,Los Angeles County,"553 4th Ave, La Puente, CA 91746",Y,N,N,,,8,1,,,,,,,
Monrovia Skatepark,Monrovia,Los Angeles County,"847 E Olive Ave, Monrovia, CA 91016",Y,Y,N,,,9,,,,,,,,
Poindexter Skatepark,Moorpark,Ventura County,500 Poindexter Ave.,Y,N,,,,10,,,,,,,,
West Park Skatepark,Ventura,Ventura County,450 W. Harrison Ave,Y,N,N,,,11,,,,,,,,
Skaters Point Skatepark,Santa Barbara,Santa Barbara County,100 E. Cabrillo Ave.,Y,N,N,,,12,1,,,,,,,
El Sereno Skatepark,Los Angeles,Los Angeles County,4721 Klamath Street,N,Y,N,,,13,,,,,,,,
Lanark Park Skatepark,Canoga Park,Los Angeles County,Topanga Canyon,Y,Y,N,,,14,,,,,,,,
La Habra Skateboard Park,La Habra,Orange County,801 W. Highlander Ave,Y,Y, N,,,15,,,,,,,,
Glendora Skatepark,Glendora,Los Angeles County,160 N. Wabash Avenue,Y,N,N,,,16,1,,,,,,,
Duarte Skatepark,Duarte,Los Angeles County,1476 Central Ave,Y,N,N,,,17,,,,,,,,
La Crescenta Skatepark,La Crescenta,Los Angeles County,3400-3498 Honolulu Ave,Y,N,N,,,18,,,,,,,,
Brea Skatepark,Brea,Orange County,Sievers Ave. and W. Elm St.,Y,N,N,,,19,,,,,,,,
Palmer Skatepark,Glendale,Los Angeles County,"610 E Palmer Ave,",Y,Y,N,,,20,1,,,,,,,
Sunland Skatepark,Sunland,Los Angeles County,8651 Foothill Blvd,Y,Y,N,Not On C.D.,,21,,,,,,,,
Hollenbeck Park,Los Angeles,Los Angeles County,415 S St Louis Street,Y,N,N,,,22,,,,,,,,
Marsh Creek Skatepark,Los Angeles,Los Angeles County,2937 Marsh St,Y,N,N,,,23,1,,,,,,,
Baldwin Park Teen Center & Skate Park,Baldwin Park,Los Angeles County,Puente Ave. and Badillo Street,Y,Y,N,,,24,,,,,,,,
Laguna Hills Skateboard Park,Laguna Hills,Orange County,25401 Paseo De Valencia,Y,N,Y,,,25,,,,,,,,
RALPHS SKATE COURT,San Clemente,Orange County,247 Avenida La Pata,Y,,Y,,,26,,,,,,,,
